"Pays","Habitants"
"Afghanistan","Afghan-e"
"Afrique du Sud","Sud-Africain-e"
"Albanie","Albanais-e"
"Algérie","Algérien-ne"
"Allemagne","Allemand-e"
"Andorre","Andorran-e"
"Angola","Angolais-e"
"Arabie Saoudite","Saoudien-ne"
"Argentine","Argentin-e"
"Arménie","Arménien-ne"
"Aruba","Arubain-ne"
"Australie","Australien-ne"
"Autriche","Autrichien-ne"
"Azerbaïdjan","Azerbaïdjanais-e"
"Bahamas","Bahamien-ne"
"Bahreïn","Bahreïnien-ne"
"Bangladesh","Bangladais-e"
"Barbade","Barbadien-ne"
"Biélorussie","Biélorusse"
"Birmanie","Birman-e"
"Belgique","Belge"
"Belize","Bélizien-ne"
"Bénin","Béninois-e"
"Bermudes","Bermudien-ne"
"Bhoutan","Bhoutanais-e"
"Bolivie","Bolivien-ne"
"Bosnie-Herzégovine","Bosniaque"
"Botswana","Botswanais-e"
"Brésil","Brésilien-ne"
"Brunéi","Brunéien-ne"
"Bulgarie","Bulgare"
"Burkina Faso","Burkinabé-e"
"Burundi","Burundais-e"
"Cameroun","Camerounais-e"
"Canada","Canadien-ne"
"Cap-Vert","Cap-Verdien-ne"
"Rép. centrafricaine","Centrafricain-e"
"Chili","Chilien-ne"
"Chine","Chinois-e"
"Chypre","Chypriote"
"Colombie","Colombien-ne"
"Comores","Comorien-ne"
"Rép. du Congo","Congolais-e"
"Rép. dém. du Congo","Congolais-e"
"Corée du Nord","Nord-Coréen-ne"
"Corée du Sud","Sud-Coréen-ne"
"Costa Rica","Costaricain-e"
"Côte d’Ivoire","Ivoirien-ne"
"Croatie","Croate"
"Cuba","Cubain-e"
"Danemark","Danois-e"
"Djibouti","Djiboutien-ne"
"Dominique","Dominiquais-e"
"Égypte","Égyptien-ne"
"Émirats arabes unis","Émirien-ne"
"Équateur","Équatorien-ne"
"LÉrythrée","Érythréen-ne"
"Espagne","Espagnol-e"
"Estonie","Estonien-ne"
"États-Unis","Américain-e"
"Éthiopie","Éthiopien-ne"
"Fidji","Fidjien-ne"
"Finlande","Finlandais-e"
"France","Français-e"
"Gabon","Gabonais-e"
"Gambie","Gambien-ne"
"Géorgie","Géorgien-ne"
"Ghana","Ghanéen-ne"
"Gibraltar","Gibraltarien-ne"
"Grèce","Grec - Grecque"
"Grenade","Grenadien-ne"
"Guatemala","Guatémaltèque"
"Guinée","Guinéen-ne"
"Guinée-Bissau","Bissau-Guinéen-ne"
"Guinée équatoriale","Équato-Guinéen-ne"
"Guyana","Guyanais-e, Guyanien-ne"
"Haïti","Haïtien-ne"
"Honduras","Hondurien-ne"
"Hongrie","Hongrois-e"
"Inde","Indien-ne"
"Indonésie","Indonésien-ne"
"Iran","Iranien-ne"
"Irak","Irakien-ne"
"Irlande","Irlandais-e"
"Islande","Islandais-e"
"Israël","Israélien-ne"
"Italie","Italien-ne"
"Jamaïque","Jamaïcain-e"
"Japon","Japonais-e"
"Jordanie","Jordanien-ne"
"Kazakhstan","Kazakh(-e)"
"Kenya","Kenyan-e"
"Kirghizistan","Kirghiz"
"Kiribati","Kiribatien-ne"
"Koweït","Koweïtien-ne"
"Kosovo","Kosovar-e"
"Laos","Laotien-ne"
"Lesotho","Lesothan-e"
"Lettonie","Letton-(n)e"
"Liban","Libanais-e"
"Libéria","Libérien-ne"
"Libye","Libyen-ne"
"Liechtenstein","Liechtensteinois-e"
"Lituanie","Lituanien-ne"
"Luxembourg","Luxembourgeois-e"
"Macédoine","Macédonien-ne"
"Madagascar","Malgache"
"Malaisie","Malaisien-ne"
"Malawi","Malawite"
"Maldives","Maldivien-ne"
"Mali","Malien-ne"
"Malte","Maltais-e"
"Maroc","Marocain-e"
"Maurice","Mauricien-ne"
"Mauritanie","Mauritanien-ne"
"Mexique","Mexicain-e"
"Monaco","Monégasque"
"Mongolie","Mongol-e"
"Monténégro","Monténégrin-e"
"Mozambique","Mozambicain-e"
"Namibie","Namibien-ne"
"Népal","Népalais-e"
"Nicaragua","Nicaraguayen-ne"
"Niger","Nigérien-ne"
"Nigéria","Nigérian-e"
"Norvège","Norvégien-ne"
"Nouvelle-Zélande","Néo-Zélandais-e"
"Oman","Omanais-e"
"Ouganda","Ougandais-e"
"Ouzbékistan","Ouzbek"
"Pakistan","Pakistanais-e"
"Panama","Panaméen-ne"
"LaPapouasie-Nouvelle-Guinée","Papouasien-ne"
"Paraguay","Paraguayen-ne"
"Pays-Bas","Néerlandais-e"
"Pérou","Péruvien-ne"
"Philippines","Philippin-e"
"Pologne","Polonais-e"
"Porto Rico","Portoricain-e"
"Portugal","Portugais-e"
"Qatar","Qatari-e, Qatarien-ne"
"République dominicaine","Dominicain-e"
"République tchèque","Tchèque"
"Roumanie","Roumain-e"
"Royaume-Uni","Britannique"
"Russie","Russe"
"Rwanda","Rwandais-e"
"St-Vincent-et-les-Grenadines","Saint-Vincentais-e"
"Salvador","Salvadorien-ne"
"Sénégal","Sénégalais-e"
"Serbie","Serbe"
"Sierra Leone","Sierra-Léonais-e"
"Singapour","Singapourien-ne"
"Slovaquie","Slovaque"
"Slovénie","Slovène"
"Somalie","Somalien-ne"
"Soudan","Soudanais-e"
"Sri Lanka","Sri-Lankais-e"
"Suède","Suédois-e"
"Suisse","Suisse"
"Surinam","Surinamien-ne"
"Swaziland","Swazi-e"
"Syrie","Syrien-ne"
"Tadjikistan","Tadjik"
"Taïwan","Taïwanais-e"
"Tanzanie","Tanzanien-ne"
"Tchad","Tchadien-ne"
"LaThaïlande","Thaïlandais-e"
"Timor-Oriental","Est-Timorais-e"
"Togo","Togolais-e"
"Tunisie","Tunisien-ne"
"Turkménistan","Turkmène"
"Turquie","Turc - Turque"
"Tuvalu","Tuvaluan-e"
"Ukraine","Ukrainien-ne"
"Uruguay","Uruguayen-ne"
"Venezuela","Vénézuélien-ne"
"Vietnam","Vietnamien-ne"
"Yémen","Yéménite"
"Zambie","Zambien-ne"
"Zimbabwe","Zimbabwéen-ne"
